,단어명,물리명,영문명,금칙어
7891,선급,ADVPMNT,ADVANCE PAYMENT,
7892,선급금,MNPD,MONEY PAID IN ADVANCE,"선급금액,선급액"
7893,선급대상자,ADPYTPSN,ADVANCE PAYMENT TARGETED PERSON,
7894,선급법인,CSFCR,CLASSIFICATION CORPORATION,
7895,선납,PREPAY,PREPAYMENT,
7896,선내간거리,ILD,INTRALINE DISTANCE,
7897,선단,CNVY,CONVOY,
7898,선도,LDRSHP,LEADERSHIP,
7899,선도장치,PATHFND,PATHFINDER,
7900,선동,INSTG,INSTIGATION,
7901,선두,LEAD,LEAD,
7902,선령,SHPAGE,SHIP AGE,
7903,선로,RLWLN,RAILWAY LINE,
7904,선로구분코드,LNROUTCD,LINE ROUTE SECTION CODE,
7905,선로번호,RLNO,RAILWAY LINE NUMBER,
7906,선매,PRISAL,PRIOR SALE,
7907,선명,SHPNM,SHIP NAME,
7908,선무,PCFCT,PACIFICATION,
7909,선미,STRN,STERN,
7910,선미등,STRNLIT,STERN LIGHT,
7911,선미루,POOP,POOP,
7912,선박,VSL,VESSEL,
7913,선박공유자,CWH,CO-OWNER OF SHIP,
7914,선박관리업,SPNBS,SHIP MANAGEMENT BUSINESS,
7915,선박관리인,SHPGR,SHIP MANAGER,
7916,선박길이,SPLNTH,SHIP LENGTH,
7917,선박너비,SHDTH,SHIP WIDTH,
7918,선박대여업,VSLDBIZ,VESSEL LENDING BUSINESS,
7919,선박등기,SPRGTR,SHIP REGISTRATION,
7920,선박번호,OFCNO,OFFICIAL NUMBER,
7921,선박보험,SHRN,SHIP INSURANCE,
7922,선박소유자,SHIPOWNR,OWNER OF A SHIP,
7923,선박우선특권,PRTSHP,PRIORITY RIGHT UPON SHIP,
7924,선박운용회사,SPPRN,SHIP OPERATION COMPANY,
7925,선박운항회사,VSSVCMPN,VESSEL SERVICE COMPANY,
7926,선박원부,SHPRGST,SHIP REGISTER,
7927,선박저당권,SRGG,SHIP MORTGAGE,
7928,선박적재목록,OCMNFST,OCEAN MANIFEST,
7929,선박주,SHIPER,SHIPPER,
7930,선박직원,SHPL,SHIP EMPLOYEE,
7931,선박충돌,CLLSP,COLLISION OF SHIP,
7932,선박투자회사,VSIVTCMPN,VESSEL INVERSTMENT COMPANY,
7933,선박항공기구분코드,VNADCD,VESSEL AND AIRCRAFT DIVISION CODE,
7934,선박회사,SHPCO,SHIPPING COMPANY,
7935,선발,SEL,SELECTION,
7936,선발대,ADVELM,ADVANCE ELEMENT,
7937,선번호,PRCDCNO,PRECEDENCE NUMBER,
7938,선별,SELCTN,SELECTION,
7939,선별심사,SJDG,SELECTION JUDGMENT,
7940,선사,FSHROFC,FISHERIES OFFICE,
7941,선색상코드,LNCLRTNCD,LINE COLOR TONE CODE,
7942,선석,BERTH,BERTH,
7943,선수,BOW,BOW,이물
7944,선수금,PRECDNT,PRECEDENT,
7945,선수금환급보증,APBOND,ADVANCE PAYMENT BOND,AP-BOND
7946,선수납,PRCC,PRECEDENCE RECEIPTANCE,
7947,선수루,TOPFC,TOPGALLANT FORECASTLE,
7948,선양,ENHC,ENHANCEMENT,
7949,선언,DCLR,DECLARATION,
7950,선원,SAILOR,SAILOR,
7951,선원신분증명서,SFID,SEAFARER'S IDENTIFICATION DOCUMENT,
7952,선율,DSRT,DOSE RATE,
7953,선율변화방식유형코드,DCWTCD,DOSE RATE CHANGE WAY TYPE CODE,
7954,선임,SNRT,SENIORITY,
7955,선임무기배정장교,SWAO,SENIOR WEAPONS ASSIGNMENT OFFICER,
7956,선임자,SNRMBR,SENIOR MEMBER,
7957,선임작전당직장교,SODO,SENIOR OPERATIONS DUTY OFFICER,
7958,선임통제사,SNRDRT,SENIOR DIRECTOR,
7959,선입선출법,FIFO,"FIRST-IN, FIRST-OUT METHOD",FIFO
7960,선저,BTMSHP,BOTTOM OF SHIP,
7961,선적,SHPNG,SHIPPING,S/P
7962,선적문서번호,SHPDOCNO,SHIPPING DOCUMENT NUMBER,
7963,선적선하증권,SHPBL,SHIPPED BILL OF LADING,선적서류선하증권
7964,선적요구서,SHRQEST,SHIPPING REQUEST,
7965,선적일자,SHPDT,SHIPMENT DATE,선적일
7966,선적지,SHPLC,SHIPPING PLACE,
7967,선적항,SHPRT,SHIPPING PORT,
7968,선전,PRPGNDA,PROPAGANDA,
7969,선정,SELTN,SELECTION,
7970,선정일자,SELDT,SELECTION DATE,선정일
7971,선정자,SELTR,SELECTOR,
7972,선제공격,PRATK,PREEMPTIVE ATTACK,
7973,선종,CIRCTKND,CIRCUIT KIND,
7974,선종류코드,LNKNCD,LINE KIND CODE,
7975,선주,SHPOWN,SHIP OWNER,
7976,선주상호보험조합,SPRSRC,SHIPOWNER MUTUAL INSURANCE ASSOCIATION,
7977,선지급,PRPD,PREPAID,
7978,선진국,ADCNTR,ADVANCED COUNTRY,
7979,선진해운항공,SUNJIN,SUNJIN SHIPPING AND AIR CARGO CORPORATION,선진
7980,선진해운항공내부번호,SUNJINNO,SUNJIN SHIPPING AND AIR CARGO CORPORATION INTERNAL NUMBER,
7981,선착,FSTARVL,FIRST ARRIVAL,
7982,선착,LSHP,LAY A SHIP,
7983,선착장,WHARF,WHARF,
7984,선처치,PMDT,PRECEDENCE MEDICAL TREATMENT,
7985,선체,HULL,HULL,
7986,선체번호,HULLNO,HULL NUMBER,
7987,선출,ELECT,ELECTION,
7988,선출원,PRIAPLC,PRIOR APPLICATION,
7989,선충,NMTD,NEMATODE,
7990,선취,PREOCUPY,PREOCCUPATION,
7991,선측인도조건,FAS,FREE ALONGSIDE SHIP,
7992,선탑자,OFCRTRNS,OFFICER WHO CONTROL AND LEAD TRANSFORMATION,
7993,선택,CHC,CHOICE,
7994,선택식별장치,SIF,SELECTIVE IDENTIFICATION FEATURE,SIF
7995,선택일자,CHCDT,CHOICE DATE,선택일
7996,선택적,SLTV,SELECTIVE,
7997,선택적ABC재고관리,ABCIM,ABC SYSTEM OF INVENTORY MANAGEMENT,
7998,선택진료,CHLC,CHOICE HEALTH CARE,
7999,선택채권,OPCM,OPTIONAL CLAIM,
8000,선택채무,OPDB,OPTIONAL DEBT,
8001,선하증권,BL,BILL OF LADING,"선화증권,선하증서,B/L"
8002,선하증권번호,BLNO,BILL OF LADING NUMBER,
8003,선행,PRCDNG,PRECEDING,
8004,선행개발,ADVDVL,ADVANCED DEVELOPMENT,
8005,선행사인,PRECUSE,PRECEDING CAUSE OF DEATH,
8006,선형,LNAR,LINEAR,
8007,선형오차,LNTOL,LINEAR TOLRNC,
8008,선형이동평균,LMA,LINEAR MOVING AVERAGE,
8009,선형장약,LNCHR,LINE CHARGE,
8010,선형지수평활,LNEXSM,LINEAR EXPONENTIAL SMOOTHING,
8011,선형피해,FSDMG,A FAN SHAPES,
8012,선호,FVR,FAVOR,
8013,선호도,PREFER,PREFERENCE,
8014,선회,TNG,TURNING,
8015,선회3방향코드,TNG3DRCD,TURNING 8 DIRECTION CODE,
8016,선회8방향코드,TNG8DRCD,TURNING 8 DIRECTION CODE,
8017,선회대기지점,ORBPNT,ORBIT POINT,
8018,선회도,CCDGR,CIRCLING DEGREE,
8019,선회방향코드,TNGDRCTNCD,TURNING DIRECTION CODE,
8020,설계,DSGN,DESIGN,
8021,설계감리,DSGNSPVS,DESIGN AND SUPERVISION,
8022,설계검토,DSGNRVW,DESIGN REVIEW,
8023,설계결함,DSGNSHRTCOM,DESIGN SHORTCOMING,
8024,설계도,DSGNDRW,DESIGN DRAWING,
8025,설계도번호,DDNO,DESIGN DRAWING NUMBER,
8026,설계속도,DSGNVE,DESIGN VELOCITY,
8027,설계자,DSNR,DESIGNER,
8028,설립,EST,ESTABLISHMENT,창립
8029,설립등기,RSRBH,REGISTRATION OF ESTABLISHMENT,
8030,설립일자,ESTDT,ESTABLISHMENT DATE,설립일
8031,설명,EXPLN,EXPLANATION,COMMENT
8032,설명문,EXPWRT,EXPOSITORY WRITING,
8033,설명서,EXPLNTN,EXPLANATION,
8034,설명회,BRFSESN,BRIEFING SESSION,
8035,설문,QSTNNR,QUESTIONNAIRE,
8036,설물,SCRAP,SCRAP,
8037,설비,FCLTS,FACILITIES,
8038,설비투자,FCLIVST,FACILITY INVESTMENT,
8039,설사,DREA,DIARRHEA,
8040,설사약,PURG,PURGATIVE,
8041,설영,QTRNG,QUARTERING,
8042,설영대,QTRPT,QUARTERING PARTY,
8043,설정,SETUP,SETUP,
8044,설정일자,SETDT,SETUP DATE,설정일
8045,설정자함방어구역,ATDFA,ACTIVATED DEFENSE AREA,
8046,설정종결,TMST,TERMINAL OF SETUP,
8047,설치,INSTL,INSTALLATION,
8048,설치열,INSTRW,INSTALLATION ROW,
8049,설치일자,INSTLDT,INSTALLATION DATE,설치일
8050,설치자,INSTLR,INSTALLER,
8051,설치장소,ITLPC,INSTALL PLACE,
8052,설파제,SFDRG,SULFA DRUG,SULFA
8053,설해,SNOWDMG,SNOW DAMAGE,
8054,섬광,FLASH,FLASH,
8055,섬광등,FLMP,FLASH LAMP,
8056,섬광폭음시간,FBTM,FLASH-BANG TIME,
8057,섬네일,THMNAIL,THUMBNAIL,THUMBNAIL
8058,섬멸,ANHLTN,ANNIHILATION,
8059,섬유,FIBER,FIBER,
8060,섬유유연제,SOFTNR,SOFTENER,
8061,섬유질,FBMTR,FIBROID MATERIAL,
8062,섭씨온도,CLSTPRT,CELSIUS TEMPERATURE,섭씨
8063,섭외,LSN,LIAISON,
8064,섭취,INTK,INTAKE,"INTAKE,INGESTION"
8065,섭취량,INTKQTY,INTAKE QUANTITY,
8066,섭취배설,IO,INPUT AND OUTPUT,
8067,섭취배설량,ITEXQTY,INTAKE EXCRETION QUANTITY,
8068,성,CHRCT,CHARACTER,
8069,성격,CHRCTR,CHARACTER,
8070,성공,SCS,SUCCESS,
8071,성과,OUTCM,OUTCOME,
8072,성과가치,BCWP,BUDGETED COST FOR WORK PERFORMED,
8073,성과감사,RLNPC,RESULT INSPECTION,
8074,성과계획서,PFPL,PERFORMANCE PLAN,
8075,성과관리,PFMCMGT,PERFORMANCE MANAGEMENT,
8076,성과기반군수지원,PBL,PERFORMANCE BASED LOGISTICS,
8077,성과등급코드,OTCMGCD,OUTCOME GRADE CODE,
8078,성과목표,PFMCGL,PERFORMANCE GOAL,
8079,성과비율,PFMCRT,PERFORMANCE RATE,
8080,성과상여금,OTBNS,OUTCOME BONUS,
8081,성과상여금삭감율코드,OTCBCRCD,OUTCOME BONUS CUT RATE CODE,
8082,성과상여금지급제외자사유코드,OTCBPEPRCD,OUTCOME BONUS PAYMENT EXCLUSION PERSON REASON CODE,
8083,성과상여금최저지급자사유코드,OTCBLPPRCD,OUTCOME BONUS LOWEST PAYMENT PERSON REASON CODE,
8084,성과상여금평가대상구분코드,OTCBEODCD,OUTCOME BONUS EVALUATION OBJECT DIVISION CODE,
8085,성과상여금평균지급자사유코드,OTCBAPPRCD,OUTCOME BONUS AVERAGE PAYMENT PERSON REASON CODE,
8086,성과지급구분코드,OPDCD,OUTCOME PAYMENT DIVISION CODE,
8087,성과지표,PFMIND,PERFORMANCE INDICATOR,
8088,성과측정,PFMSMT,PERFORMANCE MEASUREMENT,
8089,성과평가,PFMCEVL,PERFORMANCE EVALUATION,
8090,성과평가집단직위별코드,OTCEGWRCD,OUTCOME EVALUATION GROUP WORK RANK BY CODE,
8091,성과평가집단코드,OTCEGCD,OUTCOME EVALUATION GROUP CODE,
8092,성능,PFMC,PERFORMANCE,
8093,성능개량,PIP,PRODUCT IMPROVEMENT PROGRAM,
8094,성능검사,PFMTST,PERFORMANCE TEST,
8095,성능시험용탄약,AMNPFTST,AMMUNITION FOR PERFORMANCE TEST,
8096,성능형규격,PFMSPC,PERFORMANCE SPECIFICATION,
8097,성동,SNGDONG,SNGDONG,
8098,성매매,SXTRF,SEX TRAFFIC,
8099,성명,FULNM,FULL NAME,
8100,성명,STMT,STATEMENT,
8101,성묘객,VTCR,VISITOR TO HIS ANCESTRAL TOMB,
8102,성별,SEX,SEX,
8103,성별영향평가,GNEFEVL,GENDER EFFECTS EVALUATION,
8104,성별코드,SEXCD,SEX CODE,
8105,성병,VD,VENEREAL DISEASE,
8106,성분,INGRDT,INGREDIENT,
8107,성분작전,CPOP,COMPONENT OPERATION,
8108,성분제제,IGPA,INGREDIENT PHAMACEUTICALS,
8109,성수기,HHSN,HIGH DEMAND SEASON,
8110,성숙,MTRTY,MATURITY,
8111,성숙도,MTRDG,MATURITY DEGREE,
8112,성실,SNCR,SINCERITY,
8113,성실자,SNCPSN,SINCERITY PERSON,
8114,성인,ADULT,ADULT,
8115,성인지,SXREC,SEXUAL RECOGNITION,
8116,성인지교육,SREDU,SEXUAL RECOGNITION EDUCATION,
8117,성장,GRWTH,GROWTH,
8118,성장과정,GRWPRC,GROWTH PROCESS,
8119,성장성,GROW,GROWTH,
8120,성적,GRDE,GRADE,
8121,성적증명서,TRSCRP,TRAN,
8122,성적표,RPTCRD,REPORT CARD,
8123,성질,CHARTR,CHARACTER,
8124,성충,IMAGO,IMAGO,
8125,성폭력,SXVIO,SEXUAL VIOLENCE,
8126,성폭력예방교육,SVEDU,SEXUAL VIOLENCE PREVENTION EDUCATION,
8127,성향,PRPN,PROPENSITY,
8128,성형,PLSTC,PLASTIC,
8129,성희롱,SXHRS,SEXUAL HARASSMENT,
8130,세,DTAILS,DETAILS,
8131,세,YRS,YEARS,
8132,세계,WORLD,WORLD,
8133,세계관세기구,WCO,WORLD CUSTOMS ORGANIZATION,
8134,세계기상지점코드,WORLDWTSOCD,WORLD WEATHER SPOT CODE,
8135,세계무역기구,WTO,WORLD TRADE ORGANIZATION,WTO
8136,세계적,GLBAL,GLOBAL,
8137,세계측지체계,WGS84,WORLD GEODETIC SYSTEM 84,"WGS,WGS84"
8138,세계표준시,GWNT,GREENWICH MEAN TIME,
8139,세관감시망,CEN,CUSTOMS ENFORCEMENT NETWORK,
8140,세관화물정보시스템,CACIS,CUSTOMS AUTOMATED CARGO INFORMATION SYSTEM,
8141,세굴,SCOUR,SCOUR,
8142,세그먼트,SGMT,SEGMENT,SEGMENT
8143,세금,TAX,TAX,
8144,세금계산서,TXINV,TAX INVOICE,
8145,세대,HSHD,HOUSEHOLD,
8146,세대수,NOHSHD,THE NUMBER OF HOUSEHOLDS,
8147,세대원이력,RMSTHFAMINFO,RMST HISTORY FAMILY INFORMATION,
8148,세대원정보,RMSTNFAMINFO,RMST NORMAL FAMILY INFORMATION,
8149,세대주,HSHDR,HOUSEHOLDER,
8150,세력,FORCE,FORCE,
8151,세로,VTCL,VERTICAL,종
8152,세면기,WSB,WASHBOWL,
8153,세면대,BSN,BASIN,
8154,세목,DTLITM,DETAIL ITEM,
8155,세목,TXITM,TAX ITEMS,
8156,세무,TXAFR,TAX AFFAIRS,
8157,세무서,TAXOFC,TAX OFFICE,
8158,세미나,SMNR,SEMINAR,
8159,세부,DETLS,DETAILS,"디테일,DETAIL"
8160,세부검사,DETINP,DETAILS INSPECTION,
8161,세부부대규모코드,DUSCLCD,DETAILS UNIT SCALE CODE,
8162,세부사업,DTLPRJ,DETAIL PROJECT,
8163,세부사업코드,DTLPRJCD,DETAIL PROJECT CODE,
8164,세부요소일련번호,DESNO,DETAILS ELEMENT SERIAL NUMBER,
8165,세부육해상구분코드,DETSGDVSCD,DETAILS SEA GROUND DIVISION CODE,
8166,세분,SUBDV,SUBDIVISION,
8167,세분류,DTLCLS,DETAIL CLASSIFICATION,
8168,세분화,SGMNT,SEGMENTATION,
8169,세사업,SUBPRJ,SUB PROJECT,
8170,세세목,SESEMK,SESEMOK,
8171,세세항,DITMTRF,DETAILED ITEMS OF A TARIFF,
8172,세션,SESSION,SESSION,SESSION
8173,세액,TXAMT,TAX AMOUNT,
8174,세액공제,TXSB,TAX AMOUNT SUBTRACTION,
8175,세율,TXRT,TAX RATE,
8176,세입,ANRVN,ANNUAL REVENUE,
8177,세입,TXINC,TAX INCOME,
8178,세입금,ANRVNAMT,ANNUAL RVENUE AMOUNT,세입금액
8179,세입세출,RNE,REVENUE AND EXPENDITURE,
8180,세입세출구분코드,ARENDVCD,ANNUAL REVENUE AND EXPENDITURE DIVISIOIN CODE,
8181,세입세출외현금,CSHEXRE,CASH EXCEPT REVENUE AND EXPENDITURE,
8182,세입일자,ANRVNDT,ANNUAL REVENUE DATE,세입일
8183,세전,PRETX,PRE-TAX,
8184,세절,SLIC,SLICING,
8185,세정,TAXADM,TAX ADMINISTRATION,
8186,세제,DTGNT,DETERGENT,락스
8187,세차장,CARWSH,CAR WASH,
8188,세척,CLSNG,CLEANSING,
8189,세척제,CLNSR,CLEANSER,
8190,세출,ANEXP,ANNUAL EXPENDITURE,
8191,세출예산,ANEXPBG,ANNUAL EXPENDITURE BUDGET,
8192,세출예산배정내역통보구분코드,AEBAPIDCD,ANNUAL EXPENDITURE BUDGET APPORTIONMENT PARTICULARS INFORM DIVISION CODE,
8193,세탁,WSNG,WASHING,
8194,세탁물,LNDR,LAUNDRY,
8195,세트,SET,SET,SET
8196,세트번호,SETNO,SET NUMBER,
8197,세항,ITMTRF,ITEMS OF A TARIFF,
8198,센서C4I,SNSRC4I,SENSOR COMMAND CONTROL COMMUNICATION COMPUTER AND INTELLIGENCE,
8199,센서모델,SNSRMODEL,SENSOR MODEL,
8200,센터,CNTR,CENTER,센타
8201,센티미터,CM,CENTIMETER,CM
8202,셀,CELL,CELL,
8203,셀병합,CLMRG,CELL MERGE,
8204,셀프서비스,SFSRV,SELF SERVICE,
8205,셈,CNT,COUNT,"COUNT,카운트"
8206,셋톱박스,STBX,SET TOP BOXES,
8207,소,LAWST,LAWSUIT,
8208,소,SML,SMALL,
8209,소가,LAWAMT,LAWSUIT AMOUNT,소송물가액
8210,소각,DSTRY,DESTROY,
8211,소각로,INCNRT,INCINERATOR,
8212,소감,THTS,THOUGHTS,
8213,소개,DISEVC,DISPERSAL EVACUATION,
8214,소개,INTRDT,INTRODUCTION,
8215,소견,OPNN,OPINION,
8216,소견서,OPNDOC,OPINION DOCUMENT,
8217,소견입력,OINT,OPINION INPUT,
8218,소계,SBTOT,SUBTOTAL,
8219,소계정,SMLACC,SMALL ACCOUNT,
8220,소관,JRDN,JURISDICTION,
8221,소관청,JRAGC,JURISDICTION AGENCY,
8222,소관청이관구분코드,JATCDCD,JURISDICTION AGENCY TRANSFER OF CONTROL DIVISION CODE,
8223,소관코드,JRCD,JURISDICTION CODE,
8224,소구,RECORS,RECOURSE,
8225,소권,RBAC,RIGHT TO BRING AN ACTION IN A COURT,
8226,소규모,SMSCL,SMALL SCALE,
8227,소그룹,SMLGRP,SMALL GROUP,
8228,소급,RTACT,RETROACTION,
8229,소급기여금,RTSPRNT,RETROACTIVE SUPERANNUATION,
8230,소급기여금납부년도코드,RSPYRCD,RETROACTIVE SUPERANNUATION PAYMENT YEAR CODE,
8231,소급일자선하증권,BDBL,BACK DATE BILL OF LADING,
8232,소기업,SMENTP,SMALL ENTERPRISES,
8233,소나돔,SNDM,SONAR DOME,
8234,소나무,PINE,PINE,
8235,소녀,GIRL,GIRL,
8236,소대,PLTON,PLATOON,
8237,소독,DSINFT,DISINFECTION,
8238,소독기,STRLZR,STERILIZER,
8239,소독제품,DSMNG,DISINFECTION MANUFACTURED GOODS,
8240,소득,INCM,INCOME,
8241,소득공제명세관계코드,ISDRCD,INCOME SUBTRACTION DETAILS RELATIONSHIP CODE,
8242,소득명세,INDTL,INCOME DETAILS,
8243,소득세,INCTX,INCOME TAX,
8244,소득세할,PRITAX,PRO RATA INCOME TAX,
8245,소득월액,MINAMT,MONTHLY INCOME AMOUNT,
8246,소득작물,ECNCRP,ECONOMIC CROPS,
8247,소득할,PRICM,PRO RATA INCOME,
8248,소량,SMLQTY,SMALL QUANTITY,
8249,소령,MAJ,MAJOR,
8250,소로,NRWROD,NARROW ROAD,
8251,소로트,SLOT,SMALL LOT,
8252,소로트탄약,SLTAMN,SMALL LOT AMMUNITION,
8253,소매,SLVE,SLEEVE,
8254,소매인,RTLSALER,RETAIL SELLER,
8255,소매점,RTLSTR,RETAIL STORE,
8256,소멸,XTNC,EXTINCTION,
8257,소멸시효,ETPSC,EXTINCTIVE PREION,
8258,소명,VDCTN,VINDICATION,
8259,소모,CSPTN,CONSUMPTION,
8260,소모단위코드,CSPTNUICD,CONSUMPTION UNIT CODE,
8261,소모량,CSPQTY,CONSUMPTION QUANTITY,
8262,소모성품목,CSITM,CONSUMABLE ITEM,
8263,소모실적,WMACR,WASTING ACTUAL RESULT,
8264,소모예측,CNSFC,CONSUMPTION FORCASTING,
8265,소모율,CSRT,CONSUMPTION RATE,
8266,소모일자,CSPTNDT,CONSUMPTION DATE,소모일
8267,소모품,EXPB,EXPENDABLE,
8268,소방,FRSVC,FIRE SERVICE,
8269,소방선,FRBT,FIRE BOAT,
8270,소방수,FRMN,FIREMAN,
8271,소방시설,FPS,FIRE PROTECTION SYSTEM,
8272,소방업무,FHDTY,FIRE FIGHTING DUTY,
8273,소변,URINE,URINE,뇨
8274,소변기,UIL,URINAL,
8275,소병기,SMARMS,SMALL ARMS,
8276,소분류,SMCLS,SMALL CLASSIFICATION,
8277,소분배계통,RSL,RETAIL SALE LEVEL,
8278,소비,CNSPTN,CONSUMPTION,
8279,소비대차,LCNM,LOAN FOR CONSUMPTION,
8280,소비량,CSPTQTY,CONSUMPTION QUANTITY,
8281,소비임치,BJCP,BAILMENT SUBJECT TO CONSUMPTION,
8282,소비전력,PWCSP,POWER CONSUMPTION,
8283,소산,DSPT,DISSIPATION,
8284,소상인,PTMRCHNT,PETTY MERCHANT,
8285,소선거구,SBSNY,SINGLE-MEMBER CONSTITUENCY,
8286,소속,ASGMT,ASSIGNMENT,
8287,소속기관,PSTINST,POSITION INSTITUTION,
8288,소손,FRDMG,FIRE DAMAGE,
8289,소송,SUIT,SUIT,
8290,소송고지,NFST,NOTICE OF A LAWSUIT,
8291,소송대리,LLRSN,LEGAL REPRESENTATION,
8292,소송대리권,ATRNPWR,POWERS OF ATTORNEY,
8293,소송대리인,ATRNY,ATTORNEY,
8294,소송비용,LGXPSS,LITIGATION EXPENSES,
8295,소송승계,SCSFG,SUCCESSION OF LITIGATION,
8296,소송일자,LAWSDT,LAWSUIT DATE,"소송일,소송제기일자,소송제기일"
8297,소송종류코드,SUITKNDCD,SUIT KIND CODE,
8298,소송지휘권,RTLFG,RIGHT OF CONTROL OF LITIGATION,
8299,소송판결,LWSTJUDMN,LAWSUIT JUDGMENT,
8300,소송행위,ACTPRE,ACT OF PROCEDURE,
8301,소수,DCML,DECIMAL,
8302,소수리,MNRPR,MINOR REPAIR,
8303,소수술,MNROP,MINOR OPERATION,
8304,소수점,DCPT,DECIMAL POINT,소숫점
8305,소수주주권,MRTHRT,MINORITY SHAREHOLDER'S RIGHTS,
8306,소실,DSPPR,DISAPPEARANCE,
8307,소아,YNGCHLD,YOUNG CHILD,
8308,소아가산,YCAD,YOUNG CHILD ADDITION,
8309,소액,SMAMT,SMALL AMOUNT,
8310,소액결재,SSMC,SMALL SUM SANCTION,
8311,소액결제,SLTT,SMALL SETTLEMENT,
8312,소액심판제도,SLDYM,SMALL CLAIMS ADJUDGMENT SYSTEM,
8313,소액주주,MRHL,MINORITY SHAREHOLDER,
8314,소액채권,SLBND,SMALL BOND,
8315,소양,GRNDNG,GROUNDING,
8316,소요,RQM,REQUIREMENT,
8317,소요결정,RQMDCS,REQUIREMENT DECISION,
8318,소요구분코드,RQMDVSCD,REQUIREMENT DIVISION CODE,
8319,소요군조달원구분코드,DFSOSDCD,REQUIREMENT MILITARY SOURCE OF SUPPLY DIVISION CODE,
8320,소요금액,RQMAMT,REQUIREMENT AMOUNT,"소요액,소요금"
8321,소요기준,RQSTD,REQUIREMENT STANDARD,
8322,소요량,RQMQTY,REQUIREMENT QUANTITY,
8323,소요목적코드,RQMPRPSCD,REQUIREMENT PURPOSE CODE,
8324,소요보급률,RSR,REQUIREMENT SUPPLY RATE,"RSR,소요보급율"
8325,소요산정구분코드,RQMCPTNDVCD,REQUIREMENT COMPUTATION DIVISION CODE,
8326,소요시간,TAT,TURN AROUND TIME,
8327,소요인가대비과보유,REACO,REQUIRED AUTHORIZATION COMPARISON OVERHOLD,
8328,소요인원,REQPSN,REQUIRED PERSONNEL,
8329,소요자산미점검대상품목코드,RANCCD,REQUIREMENT  ASSETS NOT CHECK COMPENSATION IN SUBSTITUTES ITEM CODE,
8330,소요자산판단,RQATJG,REQUIREMENT ASSET JUDGEMENT,
8331,소요제기,RQSBMS,REQUIREMENT SUBMISSION,
8332,소요제기번호,RQSBNO,REQUIREMENT SUBMISSION NUMBER,
8333,소요통제및청구참고코드,RECD,REQUISITION EXCEPTION CODE,
8334,소위,SNDLT,SECOND LIEUTENANT,
8335,소유,PSSN,POSSESSION,
8336,소유권,OWNSHP,OWNERSHIP,
8337,소유권보존등기,RTRRP,RIGISTRATION OF PRESERVATION OF OWNERSHIP,
8338,소유물반환청구권,RNFND,RIGHT TO CLAIM RETURN OF ARTICLES OWNED,
8339,소유자,OWNR,OWNER,소유주
8340,소유지,ONELND,ONES LAND,
8341,소유형,SMLTY,SMALL TYPE,
8342,소인,PSTMRK,POSTMARK,
8343,소장,MJGNR,MAJOR GENERAL,
8344,소재,WHRABTS,WHEREABOUTS,
8345,소재지,LCTN,LOCATION,
8346,소지,POSN,POSSESSION,
8347,소지자,POSPSN,POSSESSION PERSON,
8348,소지품,BLNGS,BELONGINGS,
8349,소진,EXHS,EXHAUSTION,
8350,소집,CALUP,CALL-UP,
8351,소집부대,CLPUNT,CALL-UP UNITS,
8352,소집일자,CALUPDT,CALL-UP DATE,소집일
8353,소철항,SMLIRNPK,SMALL IRON PACK,
8354,소추,INCT,INDICTMENT,
8355,소켓,SOCKET,SOCKET,
8356,소택,MRSH,MARSH,
8357,소택지,MRSGR,MARSHY GROUND,
8358,소통,MTLUS,MUTUAL UNDERSTANDING,
8359,소파,SMDMG,SMALL DAMAGE,
8360,소프트웨어,SW,SOFTWARE,"SW,SOFTWARE"
8361,소프트웨어관리번호,SWMNO,SOFTWARE MANAGEMENT NUMBER,
8362,소프트웨어버전번호,SWVNO,SOFTWARE VERSION NUMBER,
8363,소프트웨어사업자,SWBSER,SOFTWEAR BUSINESSMAN,
8364,소프트웨어산업,SWIND,SOFTWEAR INDUSTRY,
8365,소프트웨어유니트,CSU,COMPUTER SOFTWARE UNIT,
8366,소프트웨어진흥단지,SWPC,SOFTWEAR PROMOTION COMPLEX,
8367,소프트웨어진흥시설,SWPE,SOFTWEAR PROMOTION EQUIPMENT,
8368,소프트웨어컴포넌트,CSC,COMPUTER SOFTWARE COMPONENT,
8369,소프트코딩,SFTCD,SOFT CODING,
8370,소해,SWPOTS,SWEEPING OF THE SEA,
8371,소형,SMLSZ,SMALL SIZE,
8372,소형선박,SMLLP,SMALL SHIP,
8373,소형주,SMLSTK,SMALL STOCK,
8374,소형화물차,SCGTRC,SMALL SIZE CARGO TRUCK,
8375,소홀,CRLSNS,CARELESSNESS,
8376,소화,FEXTG,FIRE EXTINGUISHING,
8377,소화기,SA,SMALL ARMS,
8378,소화물,PKG,PACKAGE,
8379,소화설비,FES,FIRE EXTINGUISHING SYSTEM,
8380,소화약제,FEA,FIRE EXTINGUISHING AGENT,
8381,소화전,FRHDRT,FIRE HYDRANT,
8382,소환,SUMONS,SUMMONS,
8383,속기사,STNGRPHER,STENOGRAPHER,
8384,속도,VLCT,VELOCITY,
8385,속도계승수,SMM,SPEED METER MULTIPLIER,속도승수
8386,속도관리,VLCMGT,VELOCITY MANAGEMENT,
8387,속도시험,VLCTT,VELOCITY TEST,
8388,속력,SPD,SPEED,
8389,속보,BRKNEWS,BREAKING NEWS,
